song_ranking,artist_name,song_title
1,Adele,Easy On Me
2,The Kid LAROI & Justin Bieber,Stay
3,Mariah Carey,All I Want For Christmas Is You
4,Brenda Lee,Rockin' Around The Christmas Tree
5,Bobby Helms,Jingle Bell Rock
6,Lil Nas X & Jack Harlow,Industry Baby
7,Burl Ives,A Holly Jolly Christmas
8,Glass Animals,Heat Waves
9,Ed Sheeran,Shivers
10,Doja Cat,Need To Know
11,Andy Williams,"
It's The Most Wonderful Time Of The Year"
12,Ed Sheeran,Bad Habits
13,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
14,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
15,Wham!,Last Christmas
16,Jose Feliciano,Feliz Navidad
17,Darlene Love,Christmas (Baby Please Come Home)
18,Nat King Cole,The Christmas Song (Merry Christmas To You)
19,The Ronettes,Sleigh Ride
20,Michael Buble,It's Beginning To Look A Lot Like Christmas
21,Taylor Swift,All Too Well (Taylor's Version)
22,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
23,Walker Hayes,Fancy Like
24,GAYLE,abcdefu
25,Bing Crosby,White Christmas
26,Olivia Rodrigo,Good 4 U
27,Kelly Clarkson,Underneath The Tree
28,Wizkid Featuring Justin Bieber & Tems,Essence
29,Doja Cat & The Weeknd,You Right
30,Andy Williams,Happy Holiday / The Holiday Season
31,Drake Featuring Future & Young Thug,Way 2 Sexy
32,Maneskin,Beggin'
33,Post Malone & The Weeknd,One Right Now
34,Doja Cat Featuring SZA,Kiss Me More
35,Gene Autry,Rudolph The Red-Nosed Reindeer
36,Ariana Grande,Santa Tell Me
37,Adele,Oh My God
38,The Weeknd & Ariana Grande,Save Your Tears
39,Justin Bieber,Ghost
40,Chuck Berry,Run Rudolph Run
41,Drake Featuring 21 Savage & Project Pat,Knife Talk
42,Jason Aldean & Carrie Underwood,If I Didn't Love You
43,Lil Nas X,Thats What I Want
44,Billie Eilish,Happier Than Ever
45,NEIKED X Mae Muller X Polo G,Better Days
46,Perry Como,(There's No Place Like) Home For The Holidays
47,CKay,Love Nwantiti (Ah Ah Ah)
48,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
49,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
50,Drake Featuring Lil Baby,Girls Want Girls
51,Coldplay x BTS,My Universe
52,Luke Combs,Cold As You
53,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
54,Jordan Davis Featuring Luke Bryan,Buy Dirt
55,Kodak Black,Super Gremlin
56, Farruko,Pepas
57,Chris Stapleton,You Should Probably Leave
58,Rod Wave,By Your Side
59,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
60,Zac Brown Band,Same Boat
61,Michael Ray,Whiskey And Rain
62,Chloe,Have Mercy
63,Normani Featuring Cardi B,Wild Side
64,Morgan Wallen,Sand In My Boots
65,Kane Brown,One Mississippi
66,Kenny Chesney,Knowing You
67,Adele,My Little Love
68,Baby Keem & Kendrick Lamar,Family Ties
69,Imagine Dragons X JID,Enemy
70,Capella Grey,Gyalis
71,Latto,Big Energy
72,Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations
73,Summer Walker & SZA,No Love
74,Adele,Can I Get It
75,Juice WRLD,Already Dead
76,Adele,I Drink Wine
77,Dan + Shay,Pick Out A Christmas Tree
78,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
79,Jon Pardi,Tequila Little Time
80,Jimmie Allen & Brad Paisley,Freedom Was A Highway
81,Priscilla Block,Just About Over You
82,Taylor Swift,Christmas Tree Farm (Old Timey Version)
83,Young Thug With Drake & Travis Scott,Bubbly
84,Polo G,"
Bad Man (Smooth Criminal)"
85,Giveon,For Tonight
86,Drake Featuring Travis Scott,Fair Trade
87,Wale Featuring J. Cole,Poke It Out
88,Cody Johnson,'Til You Can't
89,Moneybagg Yo,Scorpio
90,Doja Cat,Woman
91,Lee Brice,Memory I Don't Mess With
92,Eric Church,Heart On Fire
93,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
94,Swedish House Mafia & The Weeknd,Moth To A Flame
95,Jessie Murph,Always Been You
96,Jonas Brothers,Who's In Your Head
97,"Yung Bleu, Chris Brown & 2 Chainz",Baddest
98,42 Dugg Featuring Future,Maybach
99,Aventura x Bad Bunny,Volvi
100,Summer Walker & JT,Ex For A Reason
